owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,workflow_id,badge_url,html_url_run,run_conclusion,commit_message,commit_id
patolojiAI,patolojiAI.github.io,patolojiAI/patolojiAI.github.io,0,1,0,0,FALSE,https://github.com/patolojiAI/patolojiAI.github.io,NA,4745616,https://github.com/patolojiAI/patolojiAI.github.io/workflows/Jekyll%20site%20CI/badge.svg,https://github.com/patolojiAI/patolojiAI.github.io/actions/runs/467184815,success,Create jekyll.yml,690ba1c871b1229e8b95c0f49ecb8b4700678d2b
sbalci,bibliometrics-template,sbalci/bibliometrics-template,1,1,0,0,FALSE,https://github.com/sbalci/bibliometrics-template,NA,4745326,https://github.com/sbalci/bibliometrics-template/workflows/R/badge.svg,https://github.com/sbalci/bibliometrics-template/actions/runs/467145960,failure,Create r.yml,567c4dfb67a8a64d3ac87475f48a365ae4d04e73
sbalci,ClinicoPathDescriptives,sbalci/ClinicoPathDescriptives,1,1,0,1,FALSE,https://github.com/sbalci/ClinicoPathDescriptives,NA,4745796,https://github.com/sbalci/ClinicoPathDescriptives/workflows/R/badge.svg,https://github.com/sbalci/ClinicoPathDescriptives/actions/runs/467207541,failure,Create r.yml,4975bad4af1dfff38b412033cd538669f36bf880
sbalci,ClinicoPathJamoviModule,sbalci/ClinicoPathJamoviModule,8,5,19,2,FALSE,https://github.com/sbalci/ClinicoPathJamoviModule,NA,465408,https://github.com/sbalci/ClinicoPathJamoviModule/workflows/R-CMD-check/badge.svg,https://github.com/sbalci/ClinicoPathJamoviModule/actions/runs/33973353,cancelled,Create r-lib-actions-readme.yml,d032f906d0108c93b03947bcd0a999e669a8f277
sbalci,ClinicoPathJamoviModule,sbalci/ClinicoPathJamoviModule,8,5,19,2,FALSE,https://github.com/sbalci/ClinicoPathJamoviModule,NA,4745809,https://github.com/sbalci/ClinicoPathJamoviModule/workflows/R/badge.svg,https://github.com/sbalci/ClinicoPathJamoviModule/actions/runs/467208330,failure,Create r.yml,d73349e02645b33ffee75094773376b9e0811d25
sbalci,ClinicoPathLinuxDescriptives,sbalci/ClinicoPathLinuxDescriptives,1,1,0,0,FALSE,https://github.com/sbalci/ClinicoPathLinuxDescriptives,NA,4745761,https://github.com/sbalci/ClinicoPathLinuxDescriptives/workflows/R/badge.svg,https://github.com/sbalci/ClinicoPathLinuxDescriptives/actions/runs/467203492,failure,Create r.yml,6d40ad35d125a678c3e5a4dde1149a3925c40ff3
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,1959614,https://github.com/sbalci/clinicopathological/workflows/CodeQL/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/343905186,success,Update README.md,544d4deb2429a628d963b15f506cece94a76e79c
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,1621152,https://github.com/sbalci/clinicopathological/workflows/Docker%20Image%20CI/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/464939284,success,Create r.yml,4ba004c508eaf2bab0ca92b48e75d327f8790cd2
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,1621151,https://github.com/sbalci/clinicopathological/workflows/Docker/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/464939281,failure,Create r.yml,4ba004c508eaf2bab0ca92b48e75d327f8790cd2
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,1620976,https://github.com/sbalci/clinicopathological/workflows/Node.js%20CI/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/464939282,success,Create r.yml,4ba004c508eaf2bab0ca92b48e75d327f8790cd2
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,1619821,https://github.com/sbalci/clinicopathological/workflows/Node.js%20Package/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/141037433,failure,Create npm-publish.yml,716487a36bb9d4877723b51bc2dacf9c8f76038a
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,615836,https://github.com/sbalci/clinicopathological/workflows/Render%20README/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/141037439,success,Create npm-publish.yml,716487a36bb9d4877723b51bc2dacf9c8f76038a
sbalci,clinicopathological,sbalci/clinicopathological,1,1,2,0,FALSE,https://github.com/sbalci/clinicopathological,NA,4723237,https://github.com/sbalci/clinicopathological/workflows/R/badge.svg,https://github.com/sbalci/clinicopathological/actions/runs/464939283,failure,Create r.yml,4ba004c508eaf2bab0ca92b48e75d327f8790cd2
sbalci,histopathJulia,sbalci/histopathJulia,0,1,0,0,FALSE,https://github.com/sbalci/histopathJulia,NA,4745511,https://github.com/sbalci/histopathJulia/workflows/CI/badge.svg,https://github.com/sbalci/histopathJulia/actions/runs/467168576,success,Create blank.yml,1dd18773f32b17c6444122e8c9cadf83dcb0d6d9
sbalci,histopathology-template,sbalci/histopathology-template,2,2,0,0,FALSE,https://github.com/sbalci/histopathology-template,NA,1620963,https://github.com/sbalci/histopathology-template/workflows/Docker%20Image%20CI/badge.svg,https://github.com/sbalci/histopathology-template/actions/runs/141132696,failure,Create jekyll.yml,5633ea5a1c3eccb48fe5b764a89e6a955c7fd08f
sbalci,histopathology-template,sbalci/histopathology-template,2,2,0,0,FALSE,https://github.com/sbalci/histopathology-template,NA,1620946,https://github.com/sbalci/histopathology-template/workflows/Docker/badge.svg,https://github.com/sbalci/histopathology-template/actions/runs/141132704,failure,Create jekyll.yml,5633ea5a1c3eccb48fe5b764a89e6a955c7fd08f
sbalci,histopathology-template,sbalci/histopathology-template,2,2,0,0,FALSE,https://github.com/sbalci/histopathology-template,NA,1621149,https://github.com/sbalci/histopathology-template/workflows/Jekyll%20site%20CI/badge.svg,https://github.com/sbalci/histopathology-template/actions/runs/141132714,success,Create jekyll.yml,5633ea5a1c3eccb48fe5b764a89e6a955c7fd08f
sbalci,histopathology-template,sbalci/histopathology-template,2,2,0,0,FALSE,https://github.com/sbalci/histopathology-template,NA,529379,https://github.com/sbalci/histopathology-template/workflows/R-CMD-check/badge.svg,https://github.com/sbalci/histopathology-template/actions/runs/141132718,failure,Create jekyll.yml,5633ea5a1c3eccb48fe5b764a89e6a955c7fd08f
